"","unit","coicop","geo","time","values"
"258","I05","CP00","PL",2011-02-01,118.3
"259","I05","CP00","DE",2011-01-01,109.4
"260","I05","CP00","FR",2011-01-01,109.41
"261","I05","CP00","PL",2011-01-01,118.1
"262","I05","CP00","DE",2010-12-01,110
"263","I05","CP00","FR",2010-12-01,109.72
"264","I05","CP00","PL",2010-12-01,116.9
"265","I05","CP00","DE",2010-11-01,108.7
"266","I05","CP00","FR",2010-11-01,109.19
"267","I05","CP00","PL",2010-11-01,116.5
"268","I05","CP00","DE",2010-10-01,108.6
"269","I05","CP00","FR",2010-10-01,109.05
"270","I05","CP00","PL",2010-10-01,116.3
"271","I05","CP00","DE",2010-09-01,108.5
"272","I05","CP00","FR",2010-09-01,108.88
"273","I05","CP00","PL",2010-09-01,115.9
"274","I05","CP00","DE",2010-08-01,108.7
"275","I05","CP00","FR",2010-08-01,108.93
"276","I05","CP00","PL",2010-08-01,115.3
"277","I05","CP00","DE",2010-07-01,108.6
"278","I05","CP00","FR",2010-07-01,108.65
"279","I05","CP00","PL",2010-07-01,115.7
"280","I05","CP00","DE",2010-06-01,108.3
"281","I05","CP00","FR",2010-06-01,109.02
"282","I05","CP00","PL",2010-06-01,115.9
"283","I05","CP00","DE",2010-05-01,108.3
"284","I05","CP00","FR",2010-05-01,109.02
"285","I05","CP00","PL",2010-05-01,115.6
"286","I05","CP00","DE",2010-04-01,108.2
"287","I05","CP00","FR",2010-04-01,108.87
"288","I05","CP00","PL",2010-04-01,115.3
"289","I05","CP00","DE",2010-03-01,108.3
"290","I05","CP00","FR",2010-03-01,108.54
"291","I05","CP00","PL",2010-03-01,114.8
"292","I05","CP00","DE",2010-02-01,107.7
"293","I05","CP00","FR",2010-02-01,107.97
"294","I05","CP00","PL",2010-02-01,114.5
"295","I05","CP00","DE",2010-01-01,107.3
"296","I05","CP00","FR",2010-01-01,107.32
"297","I05","CP00","PL",2010-01-01,114.1
"298","I05","CP00","DE",2009-12-01,108
"299","I05","CP00","FR",2009-12-01,107.57
"300","I05","CP00","PL",2009-12-01,113.6
"301","I05","CP00","DE",2009-11-01,107
"302","I05","CP00","FR",2009-11-01,107.26
"303","I05","CP00","PL",2009-11-01,113.6
"304","I05","CP00","DE",2009-10-01,107.2
"305","I05","CP00","FR",2009-10-01,107.08
"306","I05","CP00","PL",2009-10-01,113.3
"307","I05","CP00","DE",2009-09-01,107.1
"308","I05","CP00","FR",2009-09-01,106.97
"309","I05","CP00","PL",2009-09-01,113.1
"310","I05","CP00","DE",2009-08-01,107.6
"311","I05","CP00","FR",2009-08-01,107.21
"312","I05","CP00","PL",2009-08-01,113.1
"313","I05","CP00","DE",2009-07-01,107.3
"314","I05","CP00","FR",2009-07-01,106.61
"315","I05","CP00","PL",2009-07-01,113.5
"316","I05","CP00","DE",2009-06-01,107.4
"317","I05","CP00","FR",2009-06-01,107.15
"318","I05","CP00","PL",2009-06-01,113.2
